品詞,見出し語要素,一般語彙ランク
名詞-普通名詞-一般,目尻,12285
名詞-普通名詞-一般,奥方,12762
名詞-普通名詞-一般,窓辺,13193
名詞-普通名詞-一般,壁際,12495
名詞-普通名詞-一般,バール,12395
名詞-普通名詞-一般,騒めき,12882
名詞-普通名詞-一般,艦橋,13038
名詞-普通名詞-一般,殺気,12808
名詞-普通名詞-一般,銃口,12603
名詞-普通名詞-一般,野次馬,12787
名詞-普通名詞-サ変可能,逆上,12292
名詞-普通名詞-一般,紫陽花,12638
名詞-普通名詞-一般,腿,12490
名詞-普通名詞-一般,辰,13418
名詞-普通名詞-一般,巴,12864
名詞-普通名詞-一般,胡蝶,12667
名詞-普通名詞-一般,土方,13020
名詞-普通名詞-一般,蝮,13078
名詞-普通名詞-一般,唸り,13423
名詞-普通名詞-一般,似合い,13165
名詞-普通名詞-一般,敵機,13114
名詞-普通名詞-一般,口笛,12901
名詞-普通名詞-一般,うつ伏せ,13053
名詞-普通名詞-一般,呻き声,13105
名詞-普通名詞-一般,鼻先,13260
名詞-普通名詞-一般,帥,13928
名詞-普通名詞-副詞可能,今宵,13856
名詞-普通名詞-一般,諸将,14139
名詞-普通名詞-サ変可能,耳打ち,13943
名詞-普通名詞-一般,日暮れ,14067
名詞-普通名詞-一般,ザック,13355
名詞-普通名詞-サ変可能,気絶,13306
名詞-普通名詞-一般,バスルーム,13440
名詞-普通名詞-一般,吐息,13225
名詞-普通名詞-サ変可能,炸裂,14577
名詞-普通名詞-サ変可能,自嘲,14351
名詞-普通名詞-一般,兵卒,14093
名詞-普通名詞-サ変可能,舌打ち,13570
名詞-普通名詞-一般,ハンドバッグ,14198
名詞-普通名詞-一般,真顔,14035
名詞-普通名詞-一般,桔梗,14613
名詞-普通名詞-一般,舌先,14080
名詞-普通名詞-一般,手下,13911
名詞-普通名詞-一般,隣室,14196
名詞-普通名詞-一般,木刀,13978
名詞-普通名詞-形状詞可能,蒼白,14106
名詞-普通名詞-一般,客間,14689
名詞-普通名詞-一般,曲者,14512
名詞-普通名詞-サ変可能,放心,14647
名詞-普通名詞-一般,唸り声,14752
名詞-普通名詞-一般,目鼻,14849
名詞-普通名詞-一般,剣術,14149
名詞-普通名詞-一般,劇画,14693
名詞-普通名詞-一般,四海,14578
名詞-普通名詞-一般,後ろ手,15057
名詞-普通名詞-一般,結界,15008
名詞-普通名詞-一般,左近,14452
名詞-普通名詞-一般,長刀,15281
名詞-普通名詞-一般,舞子,14621
名詞-普通名詞-一般,夕闇,15655
